"AGENT_NO","LONGT","LAT"
9799,168.525,-46.175
9800,168.025,-46.975
9801,168.025,-47.025
9802,168.025,-47.075
9803,168.025,-47.125
,168.025,-47.175
,168.025,-47.225
,168.025,-47.275
,168.025,-47.325
,168.025,-47.375
,168.025,-47.425
,168.075,-43.825
,168.075,-43.875
,168.075,-43.925
,168.075,-43.975
,168.075,-44.025
,168.075,-44.075
,168.075,-44.125
,168.075,-44.175
,168.075,-44.225
,168.075,-44.275
,168.075,-44.325
9804,168.075,-44.375
9805,168.075,-44.425
9806,168.075,-44.475
9807,168.075,-44.525
9808,168.075,-44.575
9809,168.075,-44.625
9810,168.075,-44.675
9811,168.075,-44.725
9812,168.075,-44.775
9813,168.075,-44.825
9814,168.075,-44.875
9815,168.075,-44.925
9818,168.075,-44.975
9819,168.075,-45.025
9820,168.075,-45.075
9821,168.075,-45.125
9822,168.075,-45.175
9823,168.075,-45.225
9824,168.075,-45.275
9825,168.075,-45.325
9826,168.075,-45.375
9827,168.275,-45.225
9828,168.275,-45.275
9829,168.275,-45.325
9830,168.275,-45.375
9831,168.275,-45.425
9832,168.275,-45.475
9833,168.275,-45.525
9834,168.275,-45.575
9835,168.275,-45.625
9847,168.275,-45.675
9848,168.275,-45.725
9849,168.275,-45.775
9850,168.275,-45.825
9851,168.275,-45.875
9852,168.275,-45.925
9853,168.275,-45.975
9854,168.275,-46.025
9855,168.275,-46.075
9875,168.275,-46.125
9885,168.275,-46.175
9886,168.275,-46.225
9887,168.275,-46.275
9888,168.275,-46.325
9889,168.275,-46.375
9890,168.275,-46.425
9891,168.275,-46.475
9892,168.275,-46.525
,168.275,-46.575
,168.275,-46.625
,168.275,-46.675
,168.275,-46.725
